student_id,assignment1_grade,assignment1_submission,assignment2_grade,assignment2_submission,assignment3_grade,assignment3_submission,assignment4_grade,assignment4_submission,assignment5_grade,assignment5_submission,assignment6_grade,assignment6_submission
B73F2C11-70F0-E37D-8B10-1D20AFED50B1,92.73394641,55:34.3,83.03055177,22:58.9,67.16444141,58:34.0,53.01155313,21:24.7,47.71039782,24:59.7,38.16831825,31:15.9
98A0FAE0-A19A-13D2-4BB5-CFBFD94031D1,86.79082086,57:44.4,86.29082086,41:18.4,69.77265669,54:55.9,55.09812535,32:30.9,49.58831281,26:39.3,44.62948153,07:24.3
D0F62040-CEB0-904C-F563-2F8620916C4E,85.51254107,36:02.4,85.51254107,39:44.4,68.41003285,22:45.9,54.72802628,41:50.7,49.25522366,31:12.5,44.32970129,24:42.8
FFDF2B2C-F514-EF7F-6538-A6A53518E9DC,86.03066496,50:39.8,68.82453197,20:38.7,61.94207877,47:16.3,49.55366302,09:20.5,49.55366302,51:18.0,44.59829672,09:12.1
5ECBEEB6-F1CE-80AE-3164-E45E99473FB4,64.81380013,06:10.8,51.49104011,25:12.1,41.93283208,25:22.6,36.92954888,29:55.9,33.23659399,46:06.6,33.23659399,06:59.5
D09000A0-827B-C0FF-3433-BF8FF286E15B,71.64727753,35:32.8,64.05254978,05:38.4,64.75254978,55:43.7,57.4672948,45:28.7,57.4672948,54:13.6,57.4672948,54:46.2
3217BE3F-E4B0-C3B6-9F64-462456819CE4,87.49874382,05:25.4,69.99899506,29:52.4,55.99919605,31:24.3,50.39927644,19:26.0,45.3593488,35:41.9,45.3593488,02:01.0
F1CB5AA1-B3DE-5460-FAFF-BE951FD38B5F,80.57608998,24:25.6,72.51848098,37:12.9,65.26663288,34:36.6,65.26663288,08:49.0,65.26663288,22:23.7,65.26663288,35:04.8
C9D51293-BD58-F113-4167-A7C0BAFCB6E5,66.59556796,29:28.4,52.91645437,42:30.0,48.34480893,34:02.2,47.44480893,48:42.5,37.95584715,27:04.3,37.95584715,24:31.1
E2C617C2-4654-622C-AB50-1550C4BE42A0,59.27088239,06:26.2,59.27088239,07:25.3,53.34379415,30:09.2,53.34379415,45:56.2,42.67503532,55:04.4,38.40753179,33:13.6
ECFE7BB7-F618-A5B9-7A57-3BD2BCC0D880,45.83877956,34:12.2,41.2549016,41:42.1,41.2549016,02:57.0,33.00392128,02:17.4,33.00392128,13:57.0,29.70352915,25:24.9
