iter	Passed	Remaining
0	2	2417
1	4	2295
2	6	2188
3	8	2089
4	10	2118
5	12	2116
6	14	2085
7	16	2071
8	18	2064
9	20	2062
10	23	2096
11	25	2093
12	28	2149
13	30	2136
14	32	2120
15	34	2113
16	36	2107
17	38	2099
18	40	2092
19	43	2121
20	45	2123
21	47	2107
22	49	2099
23	51	2107
24	53	2097
25	55	2084
26	57	2068
27	59	2065
28	61	2053
29	63	2043
30	65	2035
31	67	2031
32	69	2025
33	71	2023
34	73	2019
35	75	2016
36	77	2011
37	79	2004
38	81	1997
39	82	1991
40	84	1986
41	86	1981
42	88	1974
43	90	1968
44	92	1967
45	94	1961
46	96	1956
47	98	1949
48	100	1942
49	102	1939
50	104	1937
51	106	1934
52	108	1936
53	110	1931
54	112	1927
55	114	1923
56	116	1919
57	117	1915
58	119	1911
59	121	1908
60	125	1925
61	127	1927
62	129	1925
63	131	1919
64	133	1916
65	135	1912
66	137	1908
67	139	1911
68	141	1910
69	143	1904
70	145	1900
71	147	1894
72	148	1891
73	150	1886
74	152	1884
75	154	1881
76	156	1880
77	158	1876
78	160	1871
79	162	1867
80	164	1863
81	166	1861
82	168	1858
83	170	1857
84	172	1855
85	174	1853
86	176	1849
87	178	1844
88	180	1842
89	181	1838
90	183	1836
91	185	1834
92	188	1836
93	190	1833
94	192	1830
95	194	1828
96	196	1826
97	197	1821
98	199	1819
99	201	1817
100	204	1820
101	206	1819
102	208	1816
103	210	1815
104	212	1811
105	214	1808
106	216	1807
107	218	1804
108	221	1806
109	222	1804
110	224	1801
111	227	1801
112	229	1797
113	231	1796
114	233	1794
115	235	1793
116	237	1793
117	239	1789
118	241	1787
119	243	1786
120	245	1784
121	247	1782
122	249	1779
123	251	1778
124	254	1778
125	256	1776
126	258	1774
127	260	1771
128	262	1771
129	264	1770
130	266	1769
131	269	1773
132	271	1772
133	273	1769
134	275	1768
135	277	1765
136	280	1763
137	282	1761
138	284	1761
139	286	1759
140	288	1756
141	290	1753
142	292	1751
143	294	1750
144	296	1747
145	298	1745
146	300	1745
147	302	1742
148	304	1739
149	306	1737
150	308	1734
151	310	1732
152	312	1729
153	314	1728
154	317	1730
155	319	1728
156	321	1726
157	323	1724
158	325	1721
159	327	1719
160	329	1717
161	331	1715
162	333	1714
163	335	1712
164	337	1710
165	339	1707
166	341	1705
167	343	1702
168	345	1700
169	347	1698
170	349	1696
171	351	1694
172	353	1691
173	355	1689
174	357	1687
175	359	1685
176	361	1682
177	363	1680
178	366	1678
179	368	1677
180	370	1675
181	372	1673
182	374	1672
183	376	1670
184	378	1667
185	380	1665
186	382	1663
187	384	1661
188	386	1658
189	388	1656
190	390	1654
191	392	1652
192	394	1649
193	396	1647
194	398	1645
195	400	1643
196	402	1641
197	404	1638
198	406	1636
199	408	1634
200	410	1632
201	412	1630
202	415	1629
203	417	1627
204	419	1625
205	421	1623
206	423	1620
207	425	1618
208	427	1616
209	429	1615
210	431	1613
211	433	1610
212	435	1608
213	437	1606
214	439	1604
215	441	1602
216	443	1599
217	445	1598
218	447	1596
219	449	1594
220	451	1591
221	453	1589
222	455	1587
223	457	1585
224	459	1583
225	462	1582
226	464	1581
227	466	1578
228	468	1576
229	470	1575
230	472	1574
231	474	1572
232	477	1572
233	479	1570
234	481	1567
235	483	1565
236	485	1563
237	487	1561
238	489	1559
239	491	1557
240	494	1556
241	496	1554
242	498	1552
243	500	1549
244	502	1548
245	504	1546
246	506	1544
247	508	1542
248	511	1541
249	513	1539
250	515	1537
251	517	1535
252	519	1533
253	521	1531
254	523	1529
255	525	1528
256	528	1526
257	530	1525
258	532	1523
259	534	1521
260	536	1519
261	538	1518
262	541	1517
263	543	1515
264	545	1513
265	547	1511
266	549	1509
267	551	1506
268	553	1504
269	555	1502
270	557	1500
271	559	1498
272	561	1496
273	563	1494
274	566	1492
275	567	1489
276	570	1489
277	572	1487
278	575	1486
279	577	1483
280	579	1481
281	580	1479
282	582	1477
283	585	1474
284	587	1472
285	589	1470
286	591	1469
287	593	1466
288	595	1465
289	597	1462
290	599	1460
291	601	1458
292	603	1456
293	605	1454
294	607	1452
295	609	1450
296	611	1448
297	613	1446
298	615	1443
299	617	1441
300	619	1439
301	621	1437
302	623	1435
303	626	1433
304	628	1431
305	630	1429
306	632	1426
307	634	1424
308	636	1422
309	638	1420
310	640	1418
311	642	1416
312	644	1414
313	646	1412
314	648	1410
315	650	1407
316	652	1405
317	654	1403
318	656	1401
319	658	1399
320	660	1397
321	662	1395
322	664	1393
323	666	1391
324	669	1389
325	671	1387
326	673	1385
327	675	1383
328	677	1381
329	679	1379
330	681	1377
331	683	1374
332	685	1372
333	687	1370
334	689	1369
335	692	1367
336	694	1366
337	697	1365
338	699	1363
339	701	1360
340	703	1359
341	706	1358
342	708	1356
343	710	1354
344	712	1352
345	714	1349
346	716	1347
347	718	1345
348	720	1344
349	722	1342
350	724	1339
351	726	1337
352	728	1335
353	730	1333
354	732	1331
355	735	1330
356	737	1327
357	739	1325
358	741	1323
359	743	1321
360	745	1319
361	747	1318
362	750	1316
363	752	1314
364	754	1312
365	756	1310
366	758	1308
367	760	1306
368	762	1303
369	764	1301
370	766	1299
371	769	1298
372	771	1296
373	773	1294
374	775	1292
375	777	1289
376	779	1287
377	781	1286
378	784	1284
379	786	1283
380	788	1280
381	790	1278
382	792	1276
383	794	1274
384	796	1272
385	798	1270
386	800	1268
387	802	1266
388	804	1263
389	806	1261
390	808	1259
391	810	1257
392	812	1255
393	814	1253
394	816	1251
395	818	1249
396	820	1246
397	823	1244
398	825	1242
399	827	1240
400	829	1238
401	831	1236
402	833	1234
403	835	1232
404	837	1230
405	839	1228
406	841	1226
407	843	1223
408	845	1221
409	847	1219
410	849	1217
411	851	1215
412	853	1213
413	855	1211
414	857	1209
415	859	1207
416	861	1205
417	864	1203
418	866	1201
419	868	1198
420	870	1196
421	872	1194
422	874	1192
423	876	1190
424	878	1188
425	880	1186
426	882	1184
427	884	1181
428	886	1179
429	888	1177
430	890	1175
431	892	1173
432	894	1170
433	896	1169
434	898	1166
435	900	1164
436	902	1162
437	904	1160
438	906	1158
439	908	1156
440	910	1154
441	912	1152
442	914	1150
443	916	1147
444	918	1145
445	920	1143
446	922	1141
447	924	1139
448	926	1137
449	928	1135
450	931	1133
451	933	1132
452	936	1131
453	938	1129
454	940	1127
455	943	1125
456	945	1123
457	948	1122
458	950	1119
459	952	1117
460	954	1115
461	956	1113
462	958	1111
463	960	1109
464	962	1107
465	964	1105
466	966	1103
467	968	1101
468	970	1099
469	972	1096
470	974	1094
471	976	1092
472	978	1090
473	980	1088
474	982	1086
475	984	1084
476	986	1082
477	988	1079
478	990	1077
479	993	1075
480	995	1073
481	997	1071
482	999	1069
483	1001	1067
484	1003	1065
485	1005	1063
486	1007	1061
487	1009	1059
488	1011	1057
489	1013	1055
490	1015	1053
491	1017	1051
492	1019	1048
493	1022	1047
494	1024	1045
495	1026	1043
496	1028	1041
497	1030	1039
498	1032	1037
499	1035	1035
500	1036	1032
501	1039	1030
502	1041	1028
503	1043	1026
504	1045	1024
505	1047	1022
506	1049	1020
507	1051	1018
508	1053	1015
509	1055	1013
510	1057	1011
511	1059	1009
512	1061	1007
513	1063	1005
514	1065	1003
515	1067	1001
516	1069	998
517	1071	996
518	1073	994
519	1075	992
520	1077	990
521	1079	988
522	1081	986
523	1083	984
524	1085	982
525	1087	980
526	1089	978
527	1091	976
528	1093	974
529	1096	971
530	1098	969
531	1100	967
532	1102	965
533	1104	963
534	1106	961
535	1108	959
536	1110	957
537	1112	955
538	1114	952
539	1116	950
540	1118	948
541	1120	946
542	1122	944
543	1124	942
544	1126	940
545	1128	938
546	1130	936
547	1132	934
548	1134	932
549	1136	929
550	1138	927
551	1140	925
552	1142	923
553	1144	921
554	1146	919
555	1148	917
556	1150	915
557	1152	913
558	1155	911
559	1157	909
560	1159	907
561	1161	905
562	1163	902
563	1165	900
564	1167	898
565	1169	896
566	1171	894
567	1173	892
568	1175	890
569	1177	888
570	1179	886
571	1181	883
572	1183	881
573	1185	879
574	1187	877
575	1189	875
576	1191	873
577	1193	871
578	1196	869
579	1198	867
580	1200	865
581	1202	863
582	1204	861
583	1206	859
584	1208	857
585	1211	855
586	1213	853
587	1215	851
588	1217	849
589	1220	847
590	1222	845
591	1224	843
592	1226	841
593	1228	839
594	1230	837
595	1232	835
596	1234	833
597	1236	831
598	1238	829
599	1240	827
600	1242	825
601	1245	823
602	1247	821
603	1249	819
604	1252	817
605	1254	815
606	1257	813
607	1262	813
608	1264	812
609	1267	810
610	1269	808
611	1271	806
612	1273	804
613	1275	802
614	1277	800
615	1280	797
616	1282	795
617	1284	793
618	1287	792
619	1289	790
620	1291	788
621	1293	786
622	1295	784
623	1297	781
624	1299	779
625	1302	778
626	1304	776
627	1306	774
628	1308	771
629	1310	769
630	1312	767
631	1314	765
632	1316	763
633	1318	761
634	1320	759
635	1322	757
636	1324	755
637	1326	752
638	1329	750
639	1331	748
640	1333	746
641	1335	744
642	1337	742
643	1339	740
644	1341	738
645	1343	736
646	1345	734
647	1347	732
648	1349	729
649	1351	727
650	1353	725
651	1355	723
652	1357	721
653	1359	719
654	1361	717
655	1363	715
656	1365	713
657	1367	710
658	1369	708
659	1372	706
660	1374	704
661	1375	702
662	1377	700
663	1380	698
664	1382	696
665	1384	694
666	1386	692
667	1388	689
668	1390	687
669	1392	685
670	1394	683
671	1396	681
672	1398	679
673	1400	677
674	1402	675
675	1404	673
676	1406	671
677	1408	668
678	1410	666
679	1412	664
680	1414	662
681	1416	660
682	1418	658
683	1420	656
684	1422	654
685	1424	652
686	1426	650
687	1429	648
688	1431	645
689	1433	643
690	1435	641
691	1437	639
692	1439	637
693	1441	635
694	1443	633
695	1445	631
696	1447	629
697	1449	627
698	1451	625
699	1453	623
700	1455	620
701	1457	618
702	1459	616
703	1461	614
704	1463	612
705	1465	610
706	1467	608
707	1469	606
708	1471	604
709	1473	602
710	1476	599
711	1478	597
712	1480	595
713	1482	593
714	1484	591
715	1486	589
716	1488	587
717	1490	585
718	1492	583
719	1494	581
720	1496	579
721	1498	577
722	1500	574
723	1502	572
724	1504	570
725	1506	568
726	1508	566
727	1510	564
728	1512	562
729	1514	560
730	1516	558
731	1518	556
732	1520	553
733	1522	551
734	1524	549
735	1526	547
736	1528	545
737	1530	543
738	1532	541
739	1534	539
740	1536	537
741	1539	535
