Year,Value
1960,59184116489
1961,49557050183
1962,46685178504
1963,50097303271
1964,59062254890
1965,69709153115
1966,75879434776
1967,72057028560
1968,69993497892
1969,78718820478
1970,91506211306
1971,98562023844
1972,1.12E+11
1973,1.37E+11
1974,1.42E+11
1975,1.61E+11
1976,1.52E+11
1977,1.72E+11
1978,1.48E+11
1979,1.77E+11
1980,1.90E+11
1981,1.94E+11
1982,2.04E+11
1983,2.29E+11
1984,2.58E+11
1985,3.07E+11
1986,2.99E+11
1987,2.71E+11
1988,3.11E+11
1989,3.46E+11
1990,3.59E+11
1991,3.81E+11
1992,4.25E+11
1993,4.43E+11
1994,5.62E+11
1995,7.32E+11
1996,8.61E+11
1997,9.58E+11
1998,1.03E+12
1999,1.09E+12
2000,1.21E+12
2001,1.33E+12
2002,1.46E+12
2003,1.65E+12
2004,1.94E+12
2005,2.27E+12
2006,2.73E+12
2007,3.52E+12
2008,4.56E+12
2009,5.06E+12
2010,6.04E+12
2011,7.49E+12
2012,8.46E+12
2013,9.49E+12
2014,1.04E+13
