Date,Open,High,Low,Close,Adj Close,Volume,Return,Change,Volatility,MA7,MA21,Momentum,RSI,MACD,Signal,Upper_band,Lower_band
2000-02-01,49.1875,50.75,48.3125,50.71875,31.064568,48051400,0.031,1.25,3.456386565166274,49.24107142857143,46.67261904761905,46.0625,61.350726500229726,1.5675166071418971,1.4396919875448906,54.20848690178662,39.13675119345148
2000-02-02,50.5,51.46875,49.84375,50.03125,30.643478,52080600,-0.009,-0.6875,3.3974665965545485,49.330357142857146,46.98363095238095,44.0,59.45386326462616,1.5686007804658075,1.465473746129074,54.508657401867765,39.45860450289413
2000-02-03,50.84375,52.3125,50.375,52.09375,31.916325,56126000,0.025,2.0625,3.475206574012323,49.517857142857146,47.489583333333336,46.46875,63.136191120363954,1.716104326170111,1.5155998621372817,54.8849031511866,40.09426351548007
2000-02-04,52.1875,54.125,52.125,52.375,32.088619,55953800,0.004,0.28125,3.5421335894877513,50.107142857142854,47.992559523809526,47.71875,63.62137075225045,1.8345489351843653,1.5793896767466986,55.20059824267189,40.784520804947164
2000-02-07,52.46875,54.0625,52.0625,53.96875,33.065063,42810000,0.029,1.59375,3.7184448761419353,50.808035714285715,48.6875,47.03125,66.32600963998627,2.0335776295951433,1.6702272673163876,55.18503559051429,42.18996440948571
2000-02-08,54.40625,55.03125,54.0,54.40625,33.333111,38026000,0.0,0.4375,3.8781410927228372,51.86607142857143,49.325892857142854,49.09375,67.05020904540066,2.20123740294153,1.776429294441416,55.26117439758267,43.39061131670304
2000-02-09,54.0625,54.4375,52.25,52.3125,32.050346,38615200,-0.032,-2.09375,3.841011004598545,52.27232142857143,49.77529761904762,49.375,60.35993656843289,2.140486656669424,1.8492407668870177,55.05170512704737,44.49889011104787
2000-02-10,52.1875,54.0625,51.59375,53.8125,32.969334,43539200,0.031,1.5,3.887882552120589,52.714285714285715,50.20238095238095,50.96875,63.19341742894995,2.188155027462848,1.9170236190021839,55.24917832204778,45.155583582714115
2000-02-11,53.625,54.375,52.625,52.9375,32.433254,37756000,-0.013,-0.875,3.8584011192500713,53.129464285714285,50.55059523809524,51.40625,60.477711329483625,2.130765232187464,1.9597719416392398,55.26934425260159,45.83184622358889
2000-02-14,53.15625,54.96875,52.820313,54.9375,33.658592,34374200,0.034,2.0,3.949090939780147,53.535714285714285,50.998511904761905,49.3125,64.25856238221373,2.221063652046496,2.012030283720691,55.49675271500146,46.50027109452235
2000-02-15,54.96875,56.4375,52.625,56.0,34.309555,62771400,0.019,1.0625,4.091232652624649,54.05357142857143,51.211309523809526,50.8125,66.11321054403277,2.3512568453600267,2.0798755960485584,56.21032914495715,46.2122899026619
2000-02-16,55.6875,56.4375,53.5,53.59375,32.83532,46050000,-0.038,-2.40625,4.042046829937902,54.0,51.33184523809524,49.9375,58.68607921374418,2.23451354273832,2.110803185386511,56.436740108403995,46.226950367786486
2000-02-17,54.4375,56.1875,53.9375,55.0,33.696888,48669600,0.01,1.40625,4.061500096773446,54.08482142857143,51.56845238095238,51.9375,61.41421902128116,2.2297629376331187,2.1345951358358324,56.8767087392565,46.26019602264826
