Date,Open,High,Low,Close,Adj Close,Volume,Return,Change,Volatility,MA7,MA21,Momentum,RSI,MACD,Signal,Upper_band,Lower_band
2000-02-01,65.75,70.0,65.460938,68.03125,46.25914,69648400,0.035,4.53125,7.726508401976899,64.80803571428571,71.83482142857143,57.0,41.06820819481726,-5.5908352337672085,-5.088854341486078,87.34003908436624,56.32960377277662
2000-02-02,68.4375,72.75,68.0,71.03125,48.299046,57368200,0.038,3.0,7.441920243532995,64.95089285714286,70.94791666666667,52.28125,43.70659607817549,-4.920972363636821,-5.055277945916227,84.12807358752056,57.767759745812775
2000-02-03,72.5625,74.0,66.0,69.59375,47.321594,52571000,-0.041,-1.4375,7.175889630774911,64.25,70.40327380952381,60.5,42.71966212729839,-4.454743934176989,-4.93517114356838,82.75247204959666,58.05407556945095
2000-02-04,70.9375,70.9375,67.5,68.71875,46.726658,30028800,-0.031,-0.875,6.935351853155988,65.16517857142857,69.95089285714286,65.03125,42.09654110849245,-4.108499507287618,-4.769836816312227,81.78281424968453,58.11897146460119
2000-02-07,67.21875,67.625,65.125,66.71875,45.366684,20868400,-0.007,-2.0,6.755364121325961,66.125,69.79315476190476,68.03125,40.63746538916841,-3.949949035994962,-4.605859260248774,81.70860357371643,57.87770595009308
2000-02-08,66.75,69.8125,66.71875,69.53125,47.27911,21450800,0.042,2.8125,6.52917508614766,68.16071428571429,69.5327380952381,66.59375,43.5980194149374,-3.5563559426916527,-4.3959585967373505,81.20683596239273,57.85864022808347
2000-02-09,69.75,70.0,66.5,66.65625,45.3242,20141200,-0.044,-2.875,6.367220679272112,68.61160714285714,68.91220238095238,65.71875,41.32896413509807,-3.436801742038739,-4.204127225797628,79.6685162797969,58.155888482107855
2000-02-10,67.28125,68.5625,66.5,68.46875,46.556644,15072200,0.018,1.8125,6.169551806617263,68.67410714285714,68.73363095238095,63.71875,43.331342257860136,-3.1593811946093666,-3.9951780195599764,79.38337454978628,58.083887354975616
2000-02-11,67.539063,68.25,65.75,66.0,44.877956,12419400,-0.023,-2.46875,6.040753035420397,67.95535714285714,68.58482142857143,66.53125,41.26551779553136,-3.102961891699067,-3.816734793987795,79.29873511258863,57.87090774455423
2000-02-14,64.6875,65.0,62.5,63.5625,43.220539,23353600,-0.017,-2.4375,6.023875857945029,67.09375,68.20386904761905,63.65625,39.27459166461102,-3.217841789513514,-3.6969561930929387,79.04129730299753,57.366440792240574
2000-02-15,62.179688,63.84375,60.03125,63.3125,43.050552,30036000,0.018,-0.25,6.002489827572401,66.32142857142857,67.875,65.46875,39.06640573613118,-3.2911198656984624,-3.6157889276140436,78.87357945372945,56.87642054627055
2000-02-16,62.6875,65.75,60.5,60.9375,41.435612,30052000,-0.028,-2.375,6.113487670949084,65.49553571428571,67.46577380952381,63.0,37.05677790501258,-3.500484513812623,-3.5927280448537595,78.83866002730593,56.09288759174168
2000-02-17,62.5625,65.5,61.0,65.0,44.198002,34971600,0.039,4.0625,5.982430667367221,64.84821428571429,67.06994047619048,60.5625,42.50502175993239,-3.300551010040948,-3.5342926378911974,78.16334548424003,55.97653546814094
2000-02-18,66.007813,69.375,65.875,67.25,45.727936,42991600,0.019,2.25,5.809937820584784,64.93303571428571,66.56696428571429,60.3125,45.327621902892574,-2.92680765511966,-3.4127956413368903,76.5131728463741,56.62075572505448
2000-02-22,66.25,67.875,63.125,65.28125,44.389229,24472000,-0.015,-1.96875,5.678451427032551,64.47767857142857,65.98660714285714,57.9375,43.32344891471798,-2.7576861359634393,-3.2817737402622003,74.59319009367366,57.38002419204063
2000-02-23,66.6875,73.75,65.375,73.4375,49.935246,52349200,0.101,8.15625,5.666262595355307,65.54017857142857,66.14880952380952,62.0,52.661772229610406,-1.943115872966814,-3.014042166803123,75.1928187798098,57.10480026780924
2000-02-24,68.4375,71.125,67.5,69.84375,47.491596,51715400,0.021,-3.59375,5.518843879252143,66.4375,65.92708333333333,64.25,48.84311349379007,-1.5694569390182664,-2.725125121246152,74.31574600734359,57.538420659323066
2000-02-25,68.125,71.0,66.6875,66.78125,45.409187,23405600,-0.02,-3.0625,5.375228376861962,66.93303571428571,66.13988095238095,62.28125,45.79555780811522,-1.5031206581296033,-2.4807242286228424,74.36863244883993,57.911129455921966
2000-02-28,68.75,73.75,68.75,71.625,48.70277,36400800,0.042,4.84375,5.28492285107282,68.45982142857143,66.69345238095238,70.4375,51.00282276731852,-1.0476221969418447,-2.194103822286643,74.74969072092694,58.63721404097783
2000-02-29,73.0,74.0,69.125,71.21875,48.426548,31323400,-0.024,-0.40625,5.180214738226399,69.34821428571429,67.45238095238095,66.84375,50.564076721065994,-0.7112188761030893,-1.8975268330499322,73.81884641136806,61.08591549339384
2000-03-01,70.25,70.65625,68.265625,69.5,47.257839,20865400,-0.011,-1.71875,5.043614158562324,69.66964285714286,67.73809523809524,63.78125,48.65699920942294,-0.5766582244362297,-1.6333531113271917,73.89466173346459,61.58152874272589
2000-03-02,69.4375,69.5625,66.0,66.09375,44.941704,20560800,-0.048,-3.40625,4.939993165176404,69.78571428571429,67.64583333333333,68.625,45.032092122683835,-0.7363852554728965,-1.4539595401563328,73.8418922285774,61.449774438089264
2000-03-03,65.5,67.5,63.0,65.9375,44.835445,33932600,0.007,-0.15625,4.8413053268261415,68.71428571428571,67.40327380952381,68.21875,44.866969535596866,-0.8656000489577735,-1.3362876419166212,73.43945717922182,61.3670904398258
2000-03-06,64.75,69.0,64.0,66.625,45.302937,23576200,0.029,0.6875,4.728020243841967,68.25446428571429,67.26190476190476,66.5,45.80853945650641,-0.9021290176543886,-1.2494559170641746,73.22118967176638,61.30261985204314
2000-03-07,67.25,67.375,63.75,64.0,43.518024,21447000,-0.048,-2.625,4.700854008458236,67.85714285714286,67.03720238095238,63.09375,42.802781584965736,-1.1298696168593807,-1.2255386570232158,73.12033797786914,60.95406678403561
2000-03-08,65.3125,65.8125,62.492188,64.5625,43.900513,22876000,-0.011,0.5625,4.642635301388769,66.84821428571429,66.93452380952381,62.9375,43.65594756564757,-1.2505510593492204,-1.2305411374884168,73.1122909261784,60.75675669286922
2000-03-09,63.59375,64.625,62.375,63.5,43.178036,17427800,-0.001,-1.0625,4.624599113129043,65.74553571428571,66.64732142857143,63.625,42.37033067455652,-1.4156085876891353,-1.2675546275285605,72.87861038460382,60.41603247253905
2000-03-10,62.59375,72.75,61.0,68.0625,46.280403,83012800,0.087,4.5625,4.505725294055466,65.54017857142857,66.71428571428571,61.0,49.27788245129863,-1.1648347584661138,-1.2470106537160714,72.9761271752413,60.45244425333011
2000-03-13,64.1875,68.0,63.5625,65.09375,44.261726,35140400,0.014,-2.96875,4.425972712436211,65.39732142857143,66.55357142857143,61.5625,45.45967289229836,-1.1919084277817973,-1.2359902085292167,72.79951207458875,60.30763078255412
2000-03-14,66.0625,67.0,62.5,62.5625,42.540554,24239800,-0.053,-2.53125,4.450135462158354,64.91517857142857,66.38988095238095,60.5,42.44019930467493,-1.40146006695754,-1.2690841802148816,72.87244829221444,59.907313612547455
2000-03-15,63.0,66.5,62.75,64.0,43.518024,31392000,0.016,1.4375,4.396340473777211,64.54017857142857,66.41071428571429,65.0625,44.68712473372153,-1.4349952820729328,-1.302266400586492,72.85783348595734,59.96359508547124
2000-03-16,65.21875,67.0,63.25,66.4375,45.175457,23705600,0.019,2.4375,4.287227334805547,64.88839285714286,66.55952380952381,62.09375,48.36767310560964,-1.2504716439773205,-1.2919074492646576,72.84861731913382,60.2704302999138
2000-03-17,66.375,68.75,66.3125,68.125,46.322914,31121600,0.026,1.6875,4.185401627657755,65.39732142857143,66.90178571428571,59.5625,50.80808892117729,-0.9570360683300123,-1.2249331730777286,72.66628122405432,61.13729020451709
2000-03-20,67.15625,67.96875,64.0,64.8125,44.070503,18187800,-0.035,-3.3125,4.1115264828100875,65.58482142857143,66.89285714285714,61.0,46.19266167476371,-0.9804750211039988,-1.1760415426829827,72.67029072873983,61.11542355697445
2000-03-21,63.875,67.5,62.875,67.3125,45.770409,18525200,0.054,2.5,4.009113024149464,65.47767857142857,66.89583333333333,63.4375,49.892244895057075,-0.7882351690482352,-1.0984802679560333,72.67410396201913,61.117562704647526
2000-03-22,66.84375,67.875,65.25,67.4375,45.855427,19331800,0.009,0.125,3.910171434150757,65.8125,66.9985119047619,65.125,50.07707215573654,-0.6186656534028572,-1.0025173450453981,72.73274559479445,61.264278214729345
2000-03-23,66.28125,72.3125,66.125,72.0625,49.000256,42424400,0.087,4.625,3.9678970765428256,67.16964285714286,66.93303571428571,61.8125,56.47431841158945,-0.1098158544966168,-0.8239770469356419,72.38281659126989,61.48325483730152
2000-03-24,71.75,76.210938,71.1875,73.0,49.637741,50165800,0.017,0.9375,4.065597470471926,68.45535714285714,67.08333333333333,64.3125,57.65872595742218,0.3648934278885605,-0.5862029519708014,73.02239014677879,61.14427651988787
2000-03-27,73.84375,78.0,73.25,74.46875,50.636444,37870000,0.008,1.46875,4.241017979871592,69.60267857142857,67.44940476190476,64.4375,59.51732649094149,0.8498235673312138,-0.2989976481103984,74.20219574133722,60.696613782472305
2000-03-28,74.875,78.5,73.5,77.40625,52.633865,41268000,0.034,2.9375,4.624823856788586,70.92857142857143,67.72470238095238,69.0625,63.01414047767092,1.4544004735346476,0.051681976218610814,75.57470285486802,59.87470190703674
2000-03-29,79.125,81.28125,76.09375,78.75,53.54755,50245600,-0.005,1.34375,5.044437190527392,72.91964285714286,68.08333333333333,70.0,64.52375570166538,2.0186912066167224,0.4450838222982332,77.19113676409164,58.97552990257502
2000-03-30,75.9375,78.625,69.625,72.617188,49.377457,41385600,-0.044,-6.132812000000001,4.988103610476272,73.67745542857142,68.23177085714285,71.46875,53.74239811293541,1.9485671347395197,0.7457804847864905,77.53603442491334,58.92750728937236
2000-03-31,74.90625,76.75,72.5,74.65625,50.763958,34407000,-0.003,2.0390620000000013,5.016155532120088,74.70870542857142,68.63950895238095,74.40625,56.353697879161324,2.0340809458358393,1.0034405769963604,78.2941259237958,58.984891980966104
2000-04-03,74.34375,76.0,69.03125,70.375,47.852806,26965400,-0.053,-4.28125,4.899639942032416,74.46763399999999,68.85081847619047,75.75,49.97474956527721,1.7363743198191628,1.150027325560921,78.45114696129318,59.25048999108776
2000-04-04,70.9375,73.75,62.0,73.3125,49.850231,42759000,0.033,2.9375,4.8564271275224735,74.51227685714285,69.16927085714285,69.617188,53.835951559282606,1.7176711305488936,1.2635560865585156,78.90224798588105,59.43629372840464
